Ugent ID,address,city,country,lat_2,long_2
8.02002E+11,Langerbrugsestraat 9,Evergem,Belgium,51.11005,3.7115024
8.02002E+11,mezenstraat 6,Sint-Amandsberg,Belgium,51.0661968,3.7740827
8.02003E+11,Wittelinkstraat 14,Gent,Belgium,51.0717704,3.6966905
8.02003E+11,Gaston Crommenlaan 26 / 401,Ledeberg,Belgium,51.0367126,3.7376139
8.02003E+11,Oude-Bruglaan 161,Lokeren,Belgium,51.1063139,4.0076328
8.02004E+11,Citadellaan 40 / 201,Gent,Belgium,51.0382307,3.728071
8.01001E+11,Roggeveld 15,Belsele,Belgium,51.1449887,4.0688407
8.01001E+11,Hellestraat 13,Astene,Belgium,50.9898395,3.568204
8.01001E+11,Aaigembergstraat 50,Erpe-Mere,Belgium,50.8789089,3.9328572
8.01001E+11,Kortrijksesteenweg 775,Gent,Belgium,51.0195333,3.6793615
8.01001E+11,Dudzeelse steenweg 173,Brugge,Belgium,51.231605,3.2286549
8.01001E+11,Stationsstraat 123,Eke,Belgium,50.9603535,3.6302669
8.01001E+11,Forelstraat 10 / 202,Gent,Belgium,51.0491044,3.7437319
8.01001E+11,Hoveniersstraat 24,Koolkerke,Belgium,51.2384574,3.249774
8.01001E+11,Bambochtweg 18,Lede,Belgium,50.9716342,3.9813556
8.01001E+11,Parklaan 48,Gent,Belgium,51.0349437,3.7184858
8.01001E+11,Reygaerdijkstraat 36,Veurne,Belgium,51.0636212,2.7262453
8.01001E+11,Gaversesteenweg 758,Melsen,Belgium,50.9539167,3.6902366
8.01001E+11,Leopold-II-Laan 16,Dendermonde,Belgium,51.0316978,4.1078236
8.01001E+11,Bukkestraat 6,Vurste,Belgium,50.9445527,3.6908227
8.01001E+11,Mariakerksesteenweg 19,Drongen,Belgium,51.0521411,3.6621275
8.01001E+11,Raas Van Gaverestraat 82,Gent,Belgium,51.0508953,3.7080747
8.01001E+11,Meileveld 23,Zottegem,Belgium,50.865661,3.8021901
8.01001E+11,Kapittelstraat 19,Dendermonde,Belgium,51.0324835,4.092904
8.01001E+11,Leon De Smetlaan 9,Deurle,Belgium,51.0089685,3.6003813
8.01001E+11,Spoorweglaan 37,Nazareth-De Pinte,Belgium,50.9937807,3.6331713
8.01001E+11,Floraliënlaan 17 / 0101,Gent,Belgium,51.0377818,3.7171514
8.01001E+11,Beekstraat 31,Zulte,Belgium,50.9268146,3.4580797
8.01001E+11,Zegelaan 40,Bredene,Belgium,51.2416948,2.9597127
8.01001E+11,Gotjensstraat 2A,Maldegem,Belgium,51.1976313,3.4176763
8.01001E+11,Bergstraat 14 / F003,Vinderhoute,Belgium,51.0863848,3.6336375
8.01001E+11,Oudkasteelplein 11,Deurne,Belgium,51.2307017,4.4629588
8.01001E+11,Sint-Gerolflaan 40,Aalter,Belgium,51.089767,3.4441952
8.01001E+11,Zandvleuge 12,Kalken,Belgium,51.0380974,3.9232594
8.01001E+11,Heerweg Noord 45,Zwijnaarde,Belgium,51.0053226,3.7155689
8.01001E+11,De Mote 50,Sint-Kruis,Belgium,51.2081208,3.2459516
8.01001E+11,Oude Heirbaan 91 / 2,Leeuwergem,Belgium,50.8908051,3.8333689
8.01001E+11,Zwijnaardsesteenweg 519,Gent,Belgium,51.0244005,3.7208725
8.01001E+11,Hoogstraat 24,Deinze,Belgium,51.0255887,3.5541039
8.01001E+11,Surkelbulk 4,Sint-Denijs-Westrem,Belgium,51.0178171,3.6888779
8.01001E+11,Pastoor Meeusenlaan 13,Schoten,Belgium,51.2479623,4.4946198
8.01001E+11,Borrewal 1,Nevele,Belgium,51.0373283,3.5463154
8.01001E+11,Roskamstraat 6,Sint-Gillis-Waas,Belgium,51.1952704,4.1382998
8.01001E+11,Dorpsstraat 119,Sint-Andries,Belgium,,
8.01001E+11,Kasteelwegel 34,Sint-Amandsberg,Belgium,51.0676403,3.7827861
8.01001E+11,Voskenslaan 462A,Gent,Belgium,51.0262994,3.7100212
8.01002E+11,Sint-Annawegel 15,Bottelare,Belgium,50.9630443,3.7524358
8.01002E+11,Bijlokestraat 30,Destelbergen,Belgium,51.0585701,3.7661657
8.01002E+11,Bloemistenstraat 8,Kortrijk,Belgium,50.8226695,3.2634758
8.01002E+11,Fonteineweg 7,Nukerke,Belgium,50.772653,3.6240899
